Colony,Date,Alive/Dead,ROI,Area,Mean,Min,Max,Total Area,Dead Area,% Live Tissue
,,Dead,14,712,79.008,3,201,,,
,,Dead,15,1445,49.934,22,194,,,
,,Dead,16,1381,96.861,7,223,,,
203,2019-10-02,Alive,1,1976815,99.573,0,255,1948637,316886,0.837380692
,,No count,2,1914,116.65,9,230,,,
,,Dead,3,1817,117.754,21,236,,,
,,Dead,4,815,139.228,12,229,,,
,,Dead,5,3227,27.273,2,213,,,
,,Dead,6,910,40.699,24,143,,,
,,Dead,7,636,33.646,14,94,,,
,,Dead,8,6038,28.244,9,113,,,
,,Dead,9,807,38.209,28,51,,,
,,Dead,10,890,45.213,15,140,,,
,,Dead,11,1727,41.677,28,99,,,
,,Dead,12,580,41.241,27,99,,,
,,Dead,13,510,41.298,15,94,,,
,,Dead,14,618,161.324,42,233,,,
,,Dead,15,1100,28.445,18,41,,,
,,Dead,16,613,34.356,25,60,,,
,,Dead,17,18724,39.63,2,228,,,
,,Dead,18,3719,25.382,9,149,,,
,,Dead,19,3100,29.867,4,179,,,
,,Dead,20,21220,25.945,0,229,,,
,,Dead,21,23534,24.831,2,235,,,
,,Dead,22,122173,32.736,1,251,,,
,,Dead,23,6453,33.524,2,204,,,
,,Dead,24,10517,40.568,2,241,,,
,,Dead,25,7028,42.731,10,230,,,
,,Dead,26,3995,39.262,17,158,,,
,,Dead,27,4642,41.113,3,241,,,
,,Dead,28,648,60.6,5,221,,,
,,Dead,29,2637,41.943,9,225,,,
,,Dead,30,13715,43.687,7,244,,,
,,Dead,31,28547,45.925,6,253,,,
,,Dead,32,19054,46.747,2,244,,,
,,No count,33,26264,91.134,9,242,,,
,,Dead,34,2183,54.56,31,134,,,
,,Dead,35,1509,61.644,28,246,,,
,,Dead,36,539,65.226,33,209,,,
,,Dead,37,762,41.938,31,57,,,
,,Dead,38,1638,65.667,24,235,,,
,,Dead,39,261,107.517,39,204,,,
203,2020-01-09,Alive,1,687447,107.509,0,255,685307,9520,0.986108416
,,No count,2,2140,152.375,9,240,,,
,,Dead,3,1730,157.044,39,253,,,
,,Dead,4,7593,79.92,14,255,,,
,,Dead,5,197,142.157,53,254,,,
203,2020-10-08,Alive,1,864533,133.482,19,255,859654,79840,0.907125425
,,No count,2,1294,143.66,44,220,,,
,,No count,3,3585,90.966,56,235,,,
,,Dead,4,73007,98.722,22,233,,,
,,Dead,5,3839,119.902,66,215,,,
,,Dead,6,2994,75.592,39,234,,,
